PlantYear,Cross,Female,Male,Location,Crop,Plot,Rep,Planted,Survival,Stool,Stalk,Height,Dia,PlotWeight,Brix,TRS,Fiber,Moisture,Pol. Reading,Purity,Sucrose %,MD Index,Spec Residual Outlier,Bu Wt,Bustalks,SW
2020,CP18-1417,Ho16-680,Ho07-613,NI,1,45,2,32,20,21,139,167,20.09,145,19.53825378,201.1847419,12.55760117,70.39477539,64.74417114,75.60933707,15.03164793,0.196369036,NO,13,,
2020,CP18-1394,Ho15-972,HoCP14-885,NI,1,46,2,32,16,23,162,177.3,19.96,220,20.76191711,232.3596581,13.28667603,68.69599609,72.95678711,79.69795089,16.83681836,0.219171537,NO,9.7,,
2020,CP18-1901 POLY,Ho07-613,Poly18-3,NI,1,47,2,32,22,25,201,188.9,20.53,245,19.86640625,215.908256,11.98241501,70.23821411,68.21302795,78.21900171,15.81164297,0.142033685,NO,15.5,,
2020,HB 17-3183,Ho16-9068,HoCP12-650,NI,1,48,2,32,19,24,181,202.1,20.81,200,20.0135437,204.5627433,12.37049332,69.88615723,66.16911316,75.26315493,15.32681205,0.197127707,NO,15.1,,
2020,HB 17-3208,HoCP14-902,Ho16-9061,NI,1,49,2,32,,,,,,,,,,,,,,,,,,
2020,CP18-1611,HoCP14-831,Ho11-573,NI,1,50,2,32,,,,,,,,,,,,,,,,,,
2020,CP18-0661,HoCP16-685,HoCP14-897,NI,2,1,1,32,7,,48,199,20.9,115,18.29019012,209.6993985,13.94333954,70.3991272,64.49732208,80.94785439,15.06499459,0.130576977,NO,16.9,,
2020,CP18-0994,HoCP14-830,HoL15-501,NI,2,2,1,32,16,,171,217.3,22.58,360,18.68634338,233.3054995,13.082547,70.72084961,69.8225708,85.61026302,16.27779501,0.160502157,NO,21.5,,
2020,CP18-0283,Ho16-617,L12-201,NI,2,3,1,32,10,,156,203.9,20.9,240,17.68185425,210.5382632,12.52246933,72.08644409,63.72210693,82.96731673,14.92726592,0.176545197,NO,14.65,,
2020,CP18-0515,HoCP16-685,L12-201,NI,2,4,1,32,15,,196,240.9,23.31,430,17.49251556,222.8211935,14.04172211,70.93098755,65.86617279,86.7652851,15.44342721,0.188640267,NO,17.3,,
2020,CP18-0869,HoL15-501,HoCP96-540,NI,2,5,1,32,18,,207,206.7,20.14,335,19.59440613,240.1254905,11.84691849,70.7468689,72.6337204,84.55664768,16.8587465,0.207826183,NO,15.15,,
2020,CP18-0194,L09-112,L12-201,NI,2,6,1,32,22,,270,235.1,22.03,545,18.86372986,232.5016994,11.7285347,71.46843872,69.94316864,84.8789802,16.29195267,0.216497966,NO,20.85,,
2020,CP18-0644,Ho13-739,HoL15-993,NI,2,7,1,32,21,,213,235,18.49,380,19.21431885,230.5313618,12.65183487,70.60095215,70.10604858,83.38259371,16.3021848,0.16476222,NO,15.75,,
2020,CP18-0991,Ho13-708,HoL15-501,NI,2,8,1,32,15,,163,203.6,21.38,315,20.16483612,238.0993912,12.97212982,69.1281311,73.14583588,82.51319098,16.93025494,0.29578127,NO,14.4,,
2020,CP18-1008,Ho15-963,HoCP15-506,NI,2,9,1,32,10,,115,219.5,20.96,160,19.24401398,252.0708632,12.30479889,70.94146729,74.46121216,88.41312106,17.31242097,0.169507866,NO,17.3,,
2020,CP18-0968,HoCP14-826,Ho15-930,NI,2,10,1,32,17,,161,202.6,20,335,19.16848145,230.4299899,12.38334122,70.73655396,70.01293182,83.48954097,16.28415399,0.160582876,NO,15.95,,
2020,CP18-1425,Ho16-601,Ho07-613,NI,2,11,1,31,20,,318,239.7,23.07,590,18.70049286,231.6658939,13.1910675,70.50084839,69.51790619,85.16640536,16.20566244,0.167066333,NO,20.8,,
2020,CP18-0397,HoCP14-823,HoCP04-838,NI,2,12,1,32,23,,288,243.5,19.81,530,19.16890106,237.2629864,13.58223724,69.96329346,71.37971497,85.11737609,16.60201727,0.183306074,NO,13.85,,
2020,CP18-1039,HoCP14-885,Ho12-630,NI,2,13,1,32,29,,303,236.2,23.97,580,19.18442535,235.6731637,12.47832489,70.78317871,71.08660889,84.69288375,16.53259908,0.175543886,NO,23.3,,
2020,CP18-1395,Ho15-985,HoCP14-885,NI,2,14,1,32,25,,244,227.8,19.83,375,18.89917297,239.6915826,14.00454254,69.76263428,71.43495941,86.511932,16.63658676,0.14216901,NO,16.6,*9,
2020,CP18-1042,Ho16-600,Ho12-630,NI,2,15,1,30,16,,176,237.8,23,315,18.91046448,238.2742627,13.18975067,70.14866333,71.16993713,86.13480642,16.57396039,0.118485667,NO,18.4,,
2020,CP18-1612,HoCP15-996,Ho11-573,NI,2,16,1,32,12,,149,235.2,22.2,375,17.90729065,213.8808248,13.36168823,71.21259766,64.7347641,83.1353136,15.14819337,0.14826029,NO,20.8,,
2020,CP18-1786,Ho13-739,HoCP14-885,NI,2,17,1,32,15,,242,225.2,20.72,400,18.11911926,233.668837,12.53393784,71.45821533,68.99986267,87.48812603,16.12989782,0.168678005,NO,12.85,,
2020,CP18-0270,L14-282,HoCP09-804,NI,2,18,1,32,16,,269,223,18.85,435,18.44379883,223.9764716,14.33250427,70.19909668,67.58055115,84.04905516,15.77352036,0.153737824,NO,11.4,*9,
2020,CP18-0517,Ho15-964,L12-201,NI,2,19,1,32,20,,261,223,19.15,440,17.78847351,222.0151494,12.89304657,71.57767334,66.16616821,85.58967636,15.4919285,0.160240354,NO,15,,
2020,CP18-1387,Ho12-615,HoCP14-885,NI,2,20,1,27,17,,245,201.8,21.53,400,18.55014801,234.2273419,12.68177567,71.10913086,69.79090881,86.25628954,16.28109348,0.157124199,NO,15.35,,
2020,CP18-1041,Ho13-708,Ho12-630,NI,2,21,1,32,25,,222,230.7,21.33,415,20.27492065,259.877999,13.2023056,69.02861938,77.70148468,87.1291486,17.97496494,0.138896209,NO,15.05,*9,
2020,CP18-1576,HoCP14-826,HoCP14-885,NI,2,22,1,32,23,,180,220.9,22.17,420,19.50584869,242.0509025,12.52553177,70.3819397,72.87714386,85.26201414,16.922552,0.176382917,NO,17.5,,
2020,CP18-1596,Ho15-972,Ho16-609,NI,2,23,1,32,22,,271,234.7,17.55,405,20.44620514,261.8551876,12.99658356,69.39076538,78.3801651,87.08035871,18.11666866,0.185881142,NO,15.6,,
2020,CP18-1015,Ho14-809,Ho11-512,NI,2,24,1,32,19,,147,213.6,19.06,235,18.09658203,219.4209874,13.22039642,71.13791504,66.13053131,83.96345157,15.46081051,0.156404303,NO,13.7,*11,
2020,CP18-0372,L14-282,L12-201,NI,2,25,1,31,15,,190,243.4,21.84,400,19.04120178,231.997876,12.02912445,71.1696228,70.12413025,84.23306939,16.32008439,0.20583513,NO,18.15,,
2020,CP18-1342,Ho13-739,HoL15-508,NI,2,26,1,32,13,,133,187.7,19.66,230,18.81598969,246.8994537,12.90517426,70.65914917,72.74112701,88.51880665,16.94759337,0.173086896,NO,12.3,,
2020,CP18-1618,HoCP14-897,HoCP14-830,NI,2,27,1,32,16,,235,231,20.34,380,18.58216553,235.112714,12.68423386,71.12000122,70.01805878,86.37460806,16.33156608,0.174227669,NO,17.5,,
2020,CP18-1330,HoCP15-996,HoCP14-885,NI,2,28,1,32,13,,201,216.2,20.21,550,18.67007446,223.4830281,13.60701752,70.42263794,67.8377533,83.25566511,15.81631344,0.154603397,NO,14.6,,
2020,CP18-1176,Ho13-739,Ho13-708,NI,2,29,1,32,13,,146,198.1,22.07,295,19.24389191,235.5777287,13.29435883,70.04538574,71.16235352,84.49673641,16.54543777,0.144302319,NO,21.05,,
2020,CP18-0198,L13-257,L12-201,NI,2,30,1,32,8,,122,183.2,22.8,125,18.37018738,230.6621161,12.11544266,71.809198,68.79656982,85.93464694,16.06302375,0.182522078,NO,14.95,*9,
2020,CP18-1324,Ho13-739,Ho11-573,NI,2,31,1,32,17,,188,196.3,18.86,265,18.58529968,235.8060505,13.23024902,70.87496338,70.16124725,86.53534423,16.36471749,0.173791677,NO,11.05,,
2020,CP18-1182,HoCP14-830,Ho13-708,NI,2,32,1,32,29,,288,235.5,21.31,525,19.27488251,236.6089923,13.49397583,69.86558838,71.41808319,84.65129649,16.60239613,0.133875676,NO,19.7,,
2020,CP18-1043,HoCP14-826,Ho12-630,NI,2,33,1,32,28,,257,224.5,20.89,415,20.03817596,251.0248066,12.5368721,69.92131348,75.53662109,85.80211304,17.49450214,0.19322899,NO,15.15,,
2020,XL16-002,L07-057,L99-233,NI,2,34,1,32,22,,226,228.8,17.19,295,17.21604004,209.6077575,13.7845932,71.32904663,62.82058716,84.19262533,14.74866579,0.204622593,NO,10.4,,
2020,XL16-188,L05-457,HOCP96-540,NI,2,35,1,32,27,,330,256.3,20.06,600,19.12753906,232.3212615,13.80387421,69.77081299,70.32594299,84.05900264,16.36020528,0.179591665,NO,15.3,*11,
